Observation Year;Occupational Class;Age class;Number valids;Sum insured;Sum AO percentages with sickness in first 9 months of year t
2007;1;15 tm 25;291;2236436;0
2007;1;26 tm 30;1664;19446219;564
2007;1;31 tm 35;4130;58985108;2495
2007;1;36 tm 40;4195;84335669;2029
2007;1;41 tm 45;3077;58859278;2936
2007;1;46 tm 50;3872;79725314;2990
2007;1;51 tm 55;2333;42002031;1572
2007;1;56 tm 60;1656;24545951;815
2007;1;61 tot 65;176;2959686;0
2007;2;15 tm 25;598;4957806;314
2007;2;26 tm 30;3867;35370221;1324
2007;2;31 tm 35;4158;61525271;2082
2007;2;36 tm 40;4154;93307732;4036
2007;2;41 tm 45;6768;90969521;3669
2007;2;46 tm 50;5632;107046863;5248
2007;2;51 tm 55;4495;86883769;3648
2007;2;56 tm 60;2094;24715641;2484
2007;2;61 tot 65;277;4193767;485
2007;3;15 tm 25;2383;21603374;2028
2007;3;26 tm 30;6024;64334467;7490
2007;3;31 tm 35;11047;150018858;10911
2007;3;36 tm 40;8491;177965018;12733
2007;3;41 tm 45;8659;122452927;12761
2007;3;46 tm 50;8391;146311124;13493
2007;3;51 tm 55;9221;159622613;17566
2007;3;56 tm 60;5287;62616845;10317
2007;3;61 tot 65;994;11129395;2882
2007;4;15 tm 25;1158;14577534;527
2007;4;26 tm 30;5269;60364238;3801
2007;4;31 tm 35;7686;93000593;5282
2007;4;36 tm 40;6995;95274558;10977
2007;4;41 tm 45;4041;59255039;6133
2007;4;46 tm 50;6099;69949194;7857
2007;4;51 tm 55;4301;48678918;8633
2007;4;56 tm 60;1816;18840759;4587
2007;4;61 tot 65;543;4028677;580
2007;5;15 tm 25;2321;16073059;847
2007;5;26 tm 30;7291;47071168;8297
2007;5;31 tm 35;6750;77161709;11175
2007;5;36 tm 40;5630;80029088;10789
2007;5;41 tm 45;4065;71226735;11142
2007;5;46 tm 50;6501;53634101;7721
2007;5;51 tm 55;3737;56232075;5641
2007;5;56 tm 60;1683;15626004;6746
2007;5;61 tot 65;404;2627445;721
2007;6;15 tm 25;1207;14191094;2354
2007;6;26 tm 30;6132;73800416;4654
2007;6;31 tm 35;10169;105413850;6037
2007;6;36 tm 40;12791;87767482;6087
2007;6;41 tm 45;9675;107242030;7265
2007;6;46 tm 50;10628;96279857;9644
2007;6;51 tm 55;7702;89985219;13382
2007;6;56 tm 60;5039;41174609;9615
2007;6;61 tot 65;1553;11566411;2854
2008;1;15 tm 25;516;3170349;522
2008;1;26 tm 30;2021;29940175;288
2008;1;31 tm 35;4571;105222787;2271
2008;1;36 tm 40;5828;86634238;2555
2008;1;41 tm 45;3427;85979554;2891
2008;1;46 tm 50;4569;93830105;2873
2008;1;51 tm 55;2878;69910162;5715
2008;1;56 tm 60;1247;19124371;1645
2008;1;61 tot 65;185;3052737;0
2008;2;15 tm 25;628;7796731;507
2008;2;26 tm 30;3300;35370180;2777
2008;2;31 tm 35;6107;106212590;5339
2008;2;36 tm 40;4633;132534045;6934
2008;2;41 tm 45;4616;120773286;5956
2008;2;46 tm 50;4475;74974602;4339
2008;2;51 tm 55;3642;76176351;8780
2008;2;56 tm 60;2441;45309921;3633
2008;2;61 tot 65;432;4129861;834
2008;3;15 tm 25;2502;30905105;1791
2008;3;26 tm 30;10793;110130111;8088
2008;3;31 tm 35;14442;192387166;12940
2008;3;36 tm 40;16409;135717255;16714
2008;3;41 tm 45;8188;185146923;16845
2008;3;46 tm 50;7792;124767762;16092
2008;3;51 tm 55;11605;118947638;17585
2008;3;56 tm 60;5675;53351102;5828
2008;3;61 tot 65;965;9403598;1128
2008;4;15 tm 25;1294;15227740;792
2008;4;26 tm 30;5174;62834886;6453
2008;4;31 tm 35;9526;107303980;12172
2008;4;36 tm 40;6928;116200675;7493
2008;4;41 tm 45;7655;95598290;6479
2008;4;46 tm 50;5917;90502089;7881
2008;4;51 tm 55;5228;52123571;8390
2008;4;56 tm 60;1771;18842880;4759
2008;4;61 tot 65;463;3398142;671
2008;5;15 tm 25;2687;15203816;2260
2008;5;26 tm 30;6318;85867539;11639
2008;5;31 tm 35;7484;115705180;15004
2008;5;36 tm 40;5791;79043111;11056
2008;5;41 tm 45;6311;66656271;8920
2008;5;46 tm 50;5282;86336705;9715
2008;5;51 tm 55;5762;63370939;7807
2008;5;56 tm 60;1594;23355472;5994
2008;5;61 tot 65;268;2218900;961
2008;6;15 tm 25;1712;11653648;1004
2008;6;26 tm 30;5464;71786757;3034
2008;6;31 tm 35;8186;117284266;7435
2008;6;36 tm 40;10077;137025228;15567
2008;6;41 tm 45;7998;132569272;7743
2008;6;46 tm 50;12093;125633548;11599
2008;6;51 tm 55;11234;106676758;19847
2008;6;56 tm 60;6482;60657106;12693
2008;6;61 tot 65;1798;12746249;2270
2009;1;15 tm 25;664;5808412;0
2009;1;26 tm 30;2825;30793097;977
2009;1;31 tm 35;4834;96301915;2315
2009;1;36 tm 40;8892;171966388;3097
2009;1;41 tm 45;4986;95042267;5318
2009;1;46 tm 50;4010;77197824;2845
2009;1;51 tm 55;3807;65805650;2800
2009;1;56 tm 60;1683;33515660;1785
2009;1;61 tot 65;189;2874197;227
2009;2;15 tm 25;669;5291302;458
2009;2;26 tm 30;4200;56740509;999
2009;2;31 tm 35;6903;89088742;3863
2009;2;36 tm 40;6038;92439319;7672
2009;2;41 tm 45;5817;97052359;4204
2009;2;46 tm 50;3846;105762007;5327
2009;2;51 tm 55;3492;109614580;3727
2009;2;56 tm 60;2716;30792503;3657
2009;2;61 tot 65;292;5289028;680
2009;3;15 tm 25;2596;25770041;702
2009;3;26 tm 30;7547;117004160;3837
2009;3;31 tm 35;12112;150329514;9483
2009;3;36 tm 40;13994;168054934;9081
2009;3;41 tm 45;11794;149941306;12784
2009;3;46 tm 50;8961;102036830;19807
2009;3;51 tm 55;11653;122500074;12395
2009;3;56 tm 60;4652;59075573;14431
2009;3;61 tot 65;1176;10822682;879
2009;4;15 tm 25;1813;17508939;1091
2009;4;26 tm 30;5970;81510632;5057
2009;4;31 tm 35;8890;76679833;11009
2009;4;36 tm 40;8174;134294291;9435
2009;4;41 tm 45;7443;67000211;12672
2009;4;46 tm 50;4873;61345051;9402
2009;4;51 tm 55;5287;49780022;12007
2009;4;56 tm 60;2794;22208558;6107
2009;4;61 tot 65;386;4836856;826
2009;5;15 tm 25;1897;28523601;2794
2009;5;26 tm 30;9292;58194556;11889
2009;5;31 tm 35;12193;120570023;10309
2009;5;36 tm 40;6210;112553973;13934
2009;5;41 tm 45;7359;104692167;10190
2009;5;46 tm 50;4959;53118055;10830
2009;5;51 tm 55;4434;63258201;10509
2009;5;56 tm 60;2640;31981154;4828
2009;5;61 tot 65;267;3352035;1298
2009;6;15 tm 25;1423;18459061;366
2009;6;26 tm 30;5244;58436267;2464
2009;6;31 tm 35;12167;136557155;5419
2009;6;36 tm 40;13249;144548022;6332
2009;6;41 tm 45;13711;119086219;5812
2009;6;46 tm 50;7191;86194763;10046
2009;6;51 tm 55;11322;107793222;14123
2009;6;56 tm 60;5872;58051939;9517
2009;6;61 tot 65;1424;13332780;1013
2010;1;15 tm 25;649;4961868;518
2010;1;26 tm 30;3435;61441225;679
2010;1;31 tm 35;6254;153546934;3019
2010;1;36 tm 40;6794;162065010;4292
2010;1;41 tm 45;5460;146636542;5740
2010;1;46 tm 50;6016;96469259;3303
2010;1;51 tm 55;3376;117315370;5780
2010;1;56 tm 60;1195;31387635;2203
2010;1;61 tot 65;319;3975576;0
2010;2;15 tm 25;488;6590037;139
2010;2;26 tm 30;3824;36538255;1889
2010;2;31 tm 35;5013;85805384;6631
2010;2;36 tm 40;5352;86187961;5541
2010;2;41 tm 45;5125;108756351;3558
2010;2;46 tm 50;4420;99670602;6119
2010;2;51 tm 55;3533;112592064;8711
2010;2;56 tm 60;2466;41948349;2424
2010;2;61 tot 65;530;5793601;0
2010;3;15 tm 25;2389;24729078;1861
2010;3;26 tm 30;7785;64785374;5693
2010;3;31 tm 35;14601;184982638;10313
2010;3;36 tm 40;12972;214514138;14458
2010;3;41 tm 45;8401;210736966;12164
2010;3;46 tm 50;11966;153903276;14815
2010;3;51 tm 55;11282;137727862;21714
2010;3;56 tm 60;6052;69009915;6144
2010;3;61 tot 65;945;14427009;1804
2010;4;15 tm 25;2141;21914023;837
2010;4;26 tm 30;5101;65595079;4112
2010;4;31 tm 35;11844;151652592;9154
2010;4;36 tm 40;7610;151934839;10118
2010;4;41 tm 45;8221;118822751;5494
2010;4;46 tm 50;4989;72298750;7054
2010;4;51 tm 55;5787;63938680;7434
2010;4;56 tm 60;2083;25219989;6481
2010;4;61 tot 65;381;3738907;0
2010;5;15 tm 25;2374;29968995;2021
2010;5;26 tm 30;6409;84742603;9558
2010;5;31 tm 35;13010;156147094;19566
2010;5;36 tm 40;9493;138164079;16198
2010;5;41 tm 45;8011;102097206;11125
2010;5;46 tm 50;4752;64783986;10290
2010;5;51 tm 55;5520;64677388;8621
2010;5;56 tm 60;2121;36342249;3943
2010;5;61 tot 65;296;4649281;229
2010;6;15 tm 25;1108;14793840;766
2010;6;26 tm 30;7671;92303343;3671
2010;6;31 tm 35;14319;134077073;6784
2010;6;36 tm 40;11614;136685119;10324
2010;6;41 tm 45;8663;133549417;16322
2010;6;46 tm 50;10070;139720606;15837
2010;6;51 tm 55;8532;100944048;18523
2010;6;56 tm 60;5853;60707455;12422
2010;6;61 tot 65;1342;12521745;2114
2011;1;15 tm 25;745;8076613;624
2011;1;26 tm 30;3714;60798427;2116
2011;1;31 tm 35;7160;158330034;5847
2011;1;36 tm 40;11715;173810374;6709
2011;1;41 tm 45;9398;190008672;4720
2011;1;46 tm 50;7339;96298286;5488
2011;1;51 tm 55;3345;74647818;4433
2011;1;56 tm 60;1774;37774248;1750
2011;1;61 tot 65;361;6627730;1299
2011;2;15 tm 25;810;6111722;317
2011;2;26 tm 30;3008;34578221;2950
2011;2;31 tm 35;5972;126153938;3185
2011;2;36 tm 40;8332;169484289;5611
2011;2;41 tm 45;6489;160537203;8047
2011;2;46 tm 50;6336;115861910;4062
2011;2;51 tm 55;6032;80136521;4979
2011;2;56 tm 60;1927;34877052;3522
2011;2;61 tot 65;340;5255359;1332
2011;3;15 tm 25;2396;14754913;877
2011;3;26 tm 30;5971;96059853;6676
2011;3;31 tm 35;10566;172944817;15804
2011;3;36 tm 40;10331;240179642;14827
2011;3;41 tm 45;9295;216524790;10317
2011;3;46 tm 50;11137;105413990;12050
2011;3;51 tm 55;8707;177640136;15099
2011;3;56 tm 60;4067;93104745;10087
2011;3;61 tot 65;954;9938381;457
2011;4;15 tm 25;1857;24237282;1185
2011;4;26 tm 30;4798;77619535;5527
2011;4;31 tm 35;8210;89192793;11866
2011;4;36 tm 40;12404;95495531;17530
2011;4;41 tm 45;8830;122894384;7380
2011;4;46 tm 50;5910;92177878;10762
2011;4;51 tm 55;5321;87876731;7398
2011;4;56 tm 60;3242;35297961;6250
2011;4;61 tot 65;392;5515152;1371
2011;5;15 tm 25;3516;26843897;3580
2011;5;26 tm 30;6785;89553809;8128
2011;5;31 tm 35;8119;167776081;20071
2011;5;36 tm 40;10281;174001033;14842
2011;5;41 tm 45;7408;77076972;10081
2011;5;46 tm 50;6780;78726032;10453
2011;5;51 tm 55;5353;85026339;9875
2011;5;56 tm 60;2379;39899403;4335
2011;5;61 tot 65;527;3087200;1140
2011;6;15 tm 25;1022;24345837;948
2011;6;26 tm 30;4744;59197120;3027
2011;6;31 tm 35;11734;139414452;9531
2011;6;36 tm 40;13782;143446287;10481
2011;6;41 tm 45;11845;143350693;12558
2011;6;46 tm 50;12442;165657614;8732
2011;6;51 tm 55;11855;108985800;12167
2011;6;56 tm 60;7227;73337221;12249
2011;6;61 tot 65;1571;10184072;1396
2012;1;15 tm 25;364;3470427;0
2012;1;26 tm 30;2069;30022900;816
2012;1;31 tm 35;4782;75123261;2415
2012;1;36 tm 40;5460;171825505;2875
2012;1;41 tm 45;5715;117399494;3112
2012;1;46 tm 50;4077;130801504;3438
2012;1;51 tm 55;4403;102633035;4686
2012;1;56 tm 60;1370;40434744;3093
2012;1;61 tot 65;260;7820689;245
2012;2;15 tm 25;575;6041491;335
2012;2;26 tm 30;2082;38051629;1193
2012;2;31 tm 35;7309;87383461;3386
2012;2;36 tm 40;6603;115348243;4325
2012;2;41 tm 45;4654;85446311;6956
2012;2;46 tm 50;5407;100017525;7694
2012;2;51 tm 55;4647;79746170;5460
2012;2;56 tm 60;3182;36721356;5898
2012;2;61 tot 65;460;6778437;792
2012;3;15 tm 25;3400;30378156;1231
2012;3;26 tm 30;9122;106821639;5809
2012;3;31 tm 35;18657;256784820;14568
2012;3;36 tm 40;17275;229607760;19493
2012;3;41 tm 45;13834;313730709;19768
2012;3;46 tm 50;12946;207191999;28285
2012;3;51 tm 55;9135;170993181;18401
2012;3;56 tm 60;6064;117796506;17785
2012;3;61 tot 65;1106;15308542;1727
2012;4;15 tm 25;1600;17370331;1069
2012;4;26 tm 30;4931;81046289;3192
2012;4;31 tm 35;7133;161564439;8058
2012;4;36 tm 40;8309;164586758;11620
2012;4;41 tm 45;5972;144943345;13954
2012;4;46 tm 50;5850;83542248;10081
2012;4;51 tm 55;3903;65947384;11529
2012;4;56 tm 60;3189;31637105;4881
2012;4;61 tot 65;460;3826368;254
2012;5;15 tm 25;2076;25818258;1652
2012;5;26 tm 30;6374;61335373;7933
2012;5;31 tm 35;10693;100007989;14696
2012;5;36 tm 40;9139;145483916;16142
2012;5;41 tm 45;8237;124702595;10084
2012;5;46 tm 50;4567;78296983;8656
2012;5;51 tm 55;4699;73208172;9446
2012;5;56 tm 60;2078;31994894;5872
2012;5;61 tot 65;352;3393640;550
2012;6;15 tm 25;1075;9356300;337
2012;6;26 tm 30;3146;56749420;2553
2012;6;31 tm 35;10858;104191782;9323
2012;6;36 tm 40;13488;111232567;9093
2012;6;41 tm 45;12534;180286564;9673
2012;6;46 tm 50;6904;142134336;5397
2012;6;51 tm 55;8455;77768589;7492
2012;6;56 tm 60;3463;60480639;8560
2012;6;61 tot 65;525;8441292;536
2013;1;15 tm 25;315;3859191;0
2013;1;26 tm 30;1788;29472597;1354
2013;1;31 tm 35;4797;149115220;2486
2013;1;36 tm 40;7481;242015857;4251
2013;1;41 tm 45;5973;243351151;5565
2013;1;46 tm 50;4812;214721918;4905
2013;1;51 tm 55;3238;186066896;4491
2013;1;56 tm 60;2498;59933583;2588
2013;1;61 tot 65;319;6370615;596
2013;2;15 tm 25;425;9137393;74
2013;2;26 tm 30;1888;42663045;1002
2013;2;31 tm 35;5708;132771820;4389
2013;2;36 tm 40;6192;148344939;4054
2013;2;41 tm 45;6697;103681292;4760
2013;2;46 tm 50;4607;141230606;8411
2013;2;51 tm 55;4202;123347081;3833
2013;2;56 tm 60;2248;55759061;2449
2013;2;61 tot 65;288;8066123;817
2013;3;15 tm 25;2215;42576156;584
2013;3;26 tm 30;8723;94935156;6359
2013;3;31 tm 35;15792;304587111;12883
2013;3;36 tm 40;13579;318197037;16504
2013;3;41 tm 45;18464;399242952;19052
2013;3;46 tm 50;14798;260611675;23800
2013;3;51 tm 55;12926;182986790;19575
2013;3;56 tm 60;6518;102199156;14168
2013;3;61 tot 65;956;14459543;388
2013;4;15 tm 25;1875;27349384;582
2013;4;26 tm 30;4449;88726639;5380
2013;4;31 tm 35;8161;143389687;9255
2013;4;36 tm 40;12578;209258102;12145
2013;4;41 tm 45;9451;209049274;9525
2013;4;46 tm 50;5286;152953912;13684
2013;4;51 tm 55;3772;95664917;8937
2013;4;56 tm 60;2668;45032552;7568
2013;4;61 tot 65;480;7708500;218
2013;5;15 tm 25;2181;20896375;1819
2013;5;26 tm 30;5720;91771011;6015
2013;5;31 tm 35;10410;116720371;15540
2013;5;36 tm 40;6666;141502856;13340
2013;5;41 tm 45;5452;106898287;11064
2013;5;46 tm 50;4886;72594296;7404
2013;5;51 tm 55;4748;78311901;8573
2013;5;56 tm 60;3420;39899661;5615
2013;5;61 tot 65;511;5407685;747
2013;6;15 tm 25;951;9876850;189
2013;6;26 tm 30;3355;50441367;1343
2013;6;31 tm 35;9724;94883939;8332
2013;6;36 tm 40;11494;199452674;7265
2013;6;41 tm 45;11931;147816176;9851
2013;6;46 tm 50;6318;97643168;8320
2013;6;51 tm 55;4967;88314705;11600
2013;6;56 tm 60;3579;53591762;6422
2013;6;61 tot 65;562;5104623;370
2014;1;15 tm 25;344;7835627;0
2014;1;26 tm 30;1749;52648050;358
2014;1;31 tm 35;5204;104081262;3058
2014;1;36 tm 40;5712;272112276;2691
2014;1;41 tm 45;7917;240999333;4765
2014;1;46 tm 50;7793;271081775;3364
2014;1;51 tm 55;5662;157004405;3980
2014;1;56 tm 60;2306;67941064;2003
2014;1;61 tot 65;330;7749835;333
2014;2;15 tm 25;597;8401485;394
2014;2;26 tm 30;2730;41738149;1272
2014;2;31 tm 35;4673;92984418;3302
2014;2;36 tm 40;5909;193029797;3789
2014;2;41 tm 45;5698;202517941;7713
2014;2;46 tm 50;6769;198380963;6814
2014;2;51 tm 55;5427;117437588;5823
2014;2;56 tm 60;2703;88879204;5762
2014;2;61 tot 65;382;8148718;358
2014;3;15 tm 25;2017;47553313;429
2014;3;26 tm 30;6098;146718937;4611
2014;3;31 tm 35;16522;252204505;11526
2014;3;36 tm 40;16016;430136529;12628
2014;3;41 tm 45;18402;478824487;15700
2014;3;46 tm 50;15726;348597424;28526
2014;3;51 tm 55;10855;303779543;22072
2014;3;56 tm 60;7377;168157592;11995
2014;3;61 tot 65;1297;16339011;657
